delay,freq,condition,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,,,,,,
0.4,1000,exp,3.083333333,2.5492047,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,1000,exp,1,1.5852174,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,1.95,2.9171998,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,4.941666667,1.387083,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,1000,exp,1.183333333,1.2370946,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,3.083333333,1.3089386,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,1000,exp,1,1.4497779,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,4.066666667,1.3043287,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,4.916666667,1.4536907,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,3.833333333,1.4067572,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,1.983333333,1.5811324,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,Expected mean,2.4468107
0.7,1000,exp,5.05,2.2904431,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,unexpected mean,2.186419753
0.1,1000,exp,2.041666667,1.8383756,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,exp,4,1.654192,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,difference,0.260390947
0.1,1000,exp,2.775,1.2217652,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,2.066666667,1.5222949,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,1000,exp,1.183333333,1.1867838,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
